,text,clean_text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
0,"<U+0001F4A5>We LOVE hearing from our current team<U+0001F9B8><U+200D><U+2640><U+FE0F> Send us your resume to explore the possibilities!
<U+0001F4EC> Recruiting@MetroEHS.� https://t.co/Gfdo20EAaT","UFAWe LOVE hearing from our current teamUFBUDUUFEF Send us your resume to explore the possibilities
UFEC RecruitingMetroEHS� httpstcoGfdoEAaT","['ufawe', 'love', 'hearing', 'from', 'our', 'current', 'teamufbuduufef', 'send', 'us', 'your', 'resume', 'to', 'explore', 'the', 'possibilities', 'ufec', 'recruitingmetroehs', 'httpstcogfdoeaat']","['ufawe', 'love', 'hearing', 'current', 'teamufbuduufef', 'send', 'us', 'resume', 'explore', 'possibilities', 'ufec', 'recruitingmetroehs', 'httpstcogfdoeaat']","['ufaw', 'love', 'hear', 'current', 'teamufbuduufef', 'send', 'us', 'resum', 'explor', 'possibl', 'ufec', 'recruitingmetroeh', 'httpstcogfdoeaat']","['ufawe', 'love', 'hearing', 'current', 'teamufbuduufef', 'send', 'u', 'resume', 'explore', 'possibility', 'ufec', 'recruitingmetroehs', 'httpstcogfdoeaat']"
1,Health is where the heart is - see how you can make a difference in the quality of health care in the communities w� https://t.co/DbRZnSgHRs,Health is where the heart is  see how you can make a difference in the quality of health care in the communities w� httpstcoDbRZnSgHRs,"['health', 'is', 'where', 'the', 'heart', 'is', 'see', 'how', 'you', 'can', 'make', 'a', 'difference', 'in', 'the', 'quality', 'of', 'health', 'care', 'in', 'the', 'communities', 'w', 'httpstcodbrznsghrs']","['health', 'heart', 'see', 'make', 'difference', 'quality', 'health', 'care', 'communities', 'w', 'httpstcodbrznsghrs']","['health', 'heart', 'see', 'make', 'differ', 'qualiti', 'health', 'care', 'commun', 'w', 'httpstcodbrznsghr']","['health', 'heart', 'see', 'make', 'difference', 'quality', 'health', 'care', 'community', 'w', 'httpstcodbrznsghrs']"
2,RT @nasw: #NASW is excited to kick off our student series of events w/a free webinar on #socialwork supervision &amp; mentoring 9/20 from 6-7:3�,RT nasw NASW is excited to kick off our student series of events wa free webinar on socialwork supervision amp mentoring  from �,"['rt', 'nasw', 'nasw', 'is', 'excited', 'to', 'kick', 'off', 'our', 'student', 'series', 'of', 'events', 'wa', 'free', 'webinar', 'on', 'socialwork', 'supervision', 'amp', 'mentoring', 'from', '']","['rt', 'nasw', 'nasw', 'excited', 'kick', 'student', 'series', 'events', 'wa', 'free', 'webinar', 'socialwork', 'supervision', 'amp', 'mentoring', '']","['rt', 'nasw', 'nasw', 'excit', 'kick', 'student', 'seri', 'event', 'wa', 'free', 'webinar', 'socialwork', 'supervis', 'amp', 'mentor', '']","['rt', 'nasw', 'nasw', 'excited', 'kick', 'student', 'series', 'event', 'wa', 'free', 'webinar', 'socialwork', 'supervision', 'amp', 'mentoring', '']"
3,RT @Mick_Finnegan: They told me I couldn't do it. That my difficult background would stop me from becoming a Social Worker. How wrong they�,RT MickFinnegan They told me I couldnt do it That my difficult background would stop me from becoming a Social Worker How wrong they�,"['rt', 'mickfinnegan', 'they', 'told', 'me', 'i', 'couldnt', 'do', 'it', 'that', 'my', 'difficult', 'background', 'would', 'stop', 'me', 'from', 'becoming', 'a', 'social', 'worker', 'how', 'wrong', 'they', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becom', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']"
4,#SocialWork #ChildWelfare #WorkforceHealth #SocialWorkEngland #ChildProtection #TheSocialWorkStudy,SocialWork ChildWelfare WorkforceHealth SocialWorkEngland ChildProtection TheSocialWorkStudy,"['socialwork', 'childwelfare', 'workforcehealth', 'socialworkengland', 'childprotection', 'thesocialworkstudy']","['socialwork', 'childwelfare', 'workforcehealth', 'socialworkengland', 'childprotection', 'thesocialworkstudy']","['socialwork', 'childwelfar', 'workforcehealth', 'socialworkengland', 'childprotect', 'thesocialworkstudi']","['socialwork', 'childwelfare', 'workforcehealth', 'socialworkengland', 'childprotection', 'thesocialworkstudy']"
5,RT @Mick_Finnegan: They told me I couldn't do it. That my difficult background would stop me from becoming a Social Worker. How wrong they�,RT MickFinnegan They told me I couldnt do it That my difficult background would stop me from becoming a Social Worker How wrong they�,"['rt', 'mickfinnegan', 'they', 'told', 'me', 'i', 'couldnt', 'do', 'it', 'that', 'my', 'difficult', 'background', 'would', 'stop', 'me', 'from', 'becoming', 'a', 'social', 'worker', 'how', 'wrong', 'they', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becom', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']"
6,"""We have an opportunity to turn the tide of mental health issues that was rising even before the pandemic disrupted� https://t.co/BCP7uDVQew",We have an opportunity to turn the tide of mental health issues that was rising even before the pandemic disrupted� httpstcoBCPuDVQew,"['we', 'have', 'an', 'opportunity', 'to', 'turn', 'the', 'tide', 'of', 'mental', 'health', 'issues', 'that', 'was', 'rising', 'even', 'before', 'the', 'pandemic', 'disrupted', 'httpstcobcpudvqew']","['opportunity', 'turn', 'tide', 'mental', 'health', 'issues', 'rising', 'even', 'pandemic', 'disrupted', 'httpstcobcpudvqew']","['opportun', 'turn', 'tide', 'mental', 'health', 'issu', 'rise', 'even', 'pandem', 'disrupt', 'httpstcobcpudvqew']","['opportunity', 'turn', 'tide', 'mental', 'health', 'issue', 'rising', 'even', 'pandemic', 'disrupted', 'httpstcobcpudvqew']"
7,RT @Mick_Finnegan: They told me I couldn't do it. That my difficult background would stop me from becoming a Social Worker. How wrong they�,RT MickFinnegan They told me I couldnt do it That my difficult background would stop me from becoming a Social Worker How wrong they�,"['rt', 'mickfinnegan', 'they', 'told', 'me', 'i', 'couldnt', 'do', 'it', 'that', 'my', 'difficult', 'background', 'would', 'stop', 'me', 'from', 'becoming', 'a', 'social', 'worker', 'how', 'wrong', 'they', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becom', 'social', 'worker', 'wrong', '']","['rt', 'mickfinnegan', 'told', 'couldnt', 'difficult', 'background', 'would', 'stop', 'becoming', 'social', 'worker', 'wrong', '']"
8,So many ways to listen to the #SocialWork Podcast! Google Podcasts: https://t.co/ZF2rBqRJlZ Stitcher:� https://t.co/j6Ec01Ov2w,So many ways to listen to the SocialWork Podcast Google Podcasts httpstcoZFrBqRJlZ Stitcher� httpstcojEcOvw,"['so', 'many', 'ways', 'to', 'listen', 'to', 'the', 'socialwork', 'podcast', 'google', 'podcasts', 'httpstcozfrbqrjlz', 'stitcher', 'httpstcojecovw']","['many', 'ways', 'listen', 'socialwork', 'podcast', 'google', 'podcasts', 'httpstcozfrbqrjlz', 'stitcher', 'httpstcojecovw']","['mani', 'way', 'listen', 'socialwork', 'podcast', 'googl', 'podcast', 'httpstcozfrbqrjlz', 'stitcher', 'httpstcojecovw']","['many', 'way', 'listen', 'socialwork', 'podcast', 'google', 'podcasts', 'httpstcozfrbqrjlz', 'stitcher', 'httpstcojecovw']"
9,RT @DeclanMcAll: A short video on the importance of maintaining registration for #socialwork and #socialcare workers,RT DeclanMcAll A short video on the importance of maintaining registration for socialwork and socialcare workers,"['rt', 'declanmcall', 'a', 'short', 'video', 'on', 'the', 'importance', 'of', 'maintaining', 'registration', 'for', 'socialwork', 'and', 'socialcare', 'workers']","['rt', 'declanmcall', 'short', 'video', 'importance', 'maintaining', 'registration', 'socialwork', 'socialcare', 'workers']","['rt', 'declanmcal', 'short', 'video', 'import', 'maintain', 'registr', 'socialwork', 'socialcar', 'worker']","['rt', 'declanmcall', 'short', 'video', 'importance', 'maintaining', 'registration', 'socialwork', 'socialcare', 'worker']"
