ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,title,share
1,"< $10K",2017,"2017","true","true",17420601,96240.39310153254,169617,"United States","01000US","united-states","USA",0.11793188113152697
2,"$10-20k",2017,"2017","true","true",19419097,100828.64289688613,174077,"United States","01000US","united-states","USA",0.13146105803614883
3,"$20-30k",2017,"2017","true","true",21457270,105142.74272995506,190148,"United States","01000US","united-states","USA",0.14525883550441684
4,"$30-40k",2017,"2017","true","true",19361189,100700.91268385526,177684,"United States","01000US","united-states","USA",0.13106903945007567
5,"$40-50k",2017,"2017","true","true",15445707,91305.36525570572,147128,"United States","01000US","united-states","USA",0.10456248219658978
6,"$50-60k",2017,"2017","true","true",12473792,82969.13568236122,121810,"United States","01000US","united-states","USA",0.08444357088503388
7,"$60-70k",2017,"2017","true","true",9664187,73784.45296739333,94850,"United States","01000US","united-states","USA",0.06542344621272528
8,"$70-80k",2017,"2017","true","true",6984904,63333.91769854133,69155,"United States","01000US","united-states","USA",0.04728555967977955
9,"$80-90k",2017,"2017","true","true",5296939,55482.703566872966,53128,"United States","01000US","united-states","USA",0.03585857804268345
10,"$90-100k",2017,"2017","true","true",3572079,45837.37479503777,36121,"United States","01000US","united-states","USA",0.024181829089617732
11,"$100-110k",2017,"2017","true","true",3805887,47275.33868504415,38504,"United States","01000US","united-states","USA",0.025764634255960733
12,"$110-120k",2017,"2017","true","true",1888638,33523.927212948234,19264,"United States","01000US","united-states","USA",0.012785473481453645
13,"$120-130k",2017,"2017","true","true",2195301,36105.25742966405,22483,"United States","01000US","united-states","USA",0.014861483629636102
14,"$130-140k",2017,"2017","true","true",1219921,27004.73137246179,12557,"United States","01000US","united-states","USA",0.008258473881690622
15,"$140-150k",2017,"2017","true","true",904007,23271.676250956258,9403,"United States","01000US","united-states","USA",0.006119837430756166
16,"$150-160k",2017,"2017","true","true",1245986,27289.272032850113,12803,"United States","01000US","united-states","USA",0.008434925571370745
17,"$160-170k",2017,"2017","true","true",627113,19400.987294806786,6576,"United States","01000US","united-states","USA",0.004245353864199937
18,"$170-180k",2017,"2017","true","true",492628,17203.18751251523,5160,"United States","01000US","united-states","USA",0.0033349335501147103
19,"$180-190k",2017,"2017","true","true",457330,16577.394719768054,4758,"United States","01000US","united-states","USA",0.0030959774119091086
20,"$190-200k",2017,"2017","true","true",234915,11890.07321834177,2515,"United States","01000US","united-states","USA",0.0015902992012739778
21,"$200k+",2017,"2017","true","true",3549995,45698.963043847754,38084,"United States","01000US","united-states","USA",0.024032327493036267
1,"< $10K",2016,"2016","true","true",18071160,97666.88817368487,174284,"United States","01000US","united-states","USA",0.12429233146214654
2,"$10-20k",2016,"2016","true","true",20389119,102793.07112297037,179785,"United States","01000US","united-states","USA",0.1402351114687242
3,"$20-30k",2016,"2016","true","true",21371186,104825.32227211524,188687,"United States","01000US","united-states","USA",0.1469897081344632
4,"$30-40k",2016,"2016","true","true",19001439,99782.67882492718,174794,"United States","01000US","united-states","USA",0.13069073343635706
5,"$40-50k",2016,"2016","true","true",15123581,90375.65578668928,144076,"United States","01000US","united-states","USA",0.1040190636653442
6,"$50-60k",2016,"2016","true","true",11847222,80989.04434778473,116099,"United States","01000US","united-states","USA",0.08148446716921519
7,"$60-70k",2016,"2016","true","true",9088557,71664.72250302475,89509,"United States","01000US","united-states","USA",0.062510538291765
8,"$70-80k",2016,"2016","true","true",6593885,61598.05507731842,65409,"United States","01000US","united-states","USA",0.045352337096416395
9,"$80-90k",2016,"2016","true","true",5084130,54381.835774797495,50617,"United States","01000US","united-states","USA",0.034968334692219154
10,"$90-100k",2016,"2016","true","true",3440709,44998.513019947735,34935,"United States","01000US","united-states","USA",0.023664985728242723
11,"$100-110k",2016,"2016","true","true",3603926,46026.961166594694,36228,"United States","01000US","united-states","USA",0.02478758225576266
12,"$110-120k",2016,"2016","true","true",1753923,32318.006448012038,17684,"United States","01000US","united-states","USA",0.012063374950754819
13,"$120-130k",2016,"2016","true","true",2049018,34895.19391118655,20853,"United States","01000US","united-states","USA",0.014093020283584706
14,"$130-140k",2016,"2016","true","true",1073008,25337.731582529843,11149,"United States","01000US","united-states","USA",0.007380083292801067
15,"$140-150k",2016,"2016","true","true",852847,22606.473643118465,8803,"United States","01000US","united-states","USA",0.005865829421603112
16,"$150-160k",2016,"2016","true","true",1162540,26365.46584644178,12020,"United States","01000US","united-states","USA",0.007995878904176811
17,"$160-170k",2016,"2016","true","true",552650,18216.83297005377,5816,"United States","01000US","united-states","USA",0.003801092845315701
18,"$170-180k",2016,"2016","true","true",455511,16544.087104769496,4674,"United States","01000US","united-states","USA",0.0031329767539357645
19,"$180-190k",2016,"2016","true","true",415815,15808.94594766273,4371,"United States","01000US","united-states","USA",0.0028599500976656984
20,"$190-200k",2016,"2016","true","true",215272,11382.739031198564,2232,"United States","01000US","united-states","USA",0.0014806276286923037
21,"$200k+",2016,"2016","true","true",3246899,43742.62632939787,35081,"United States","01000US","united-states","USA",0.022331972420813723
1,"< $10K",2015,"2015","true","true",18582269,98739.08153706872,178082,"United States","01000US","united-states","USA",0.1295779059075659
2,"$10-20k",2015,"2015","true","true",20987738,103919.50250482502,185322,"United States","01000US","united-states","USA",0.14635172592629273
3,"$20-30k",2015,"2015","true","true",21308700,104573.7412335336,189804,"United States","01000US","united-states","USA",0.1485898586234302
4,"$30-40k",2015,"2015","true","true",18742734,99100.72996511316,174251,"United States","01000US","united-states","USA",0.1306968606849108
5,"$40-50k",2015,"2015","true","true",14797713,89438.16927538959,141829,"United States","01000US","united-states","USA",0.10318743436343349
6,"$50-60k",2015,"2015","true","true",11448206,79685.14343169265,112548,"United States","01000US","united-states","USA",0.07983064715500736
7,"$60-70k",2015,"2015","true","true",8817232,70625.51953686457,87211,"United States","01000US","united-states","USA",0.061484335333923924
8,"$70-80k",2015,"2015","true","true",6316268,60328.68324213891,62783,"United States","01000US","united-states","USA",0.044044609438759576
9,"$80-90k",2015,"2015","true","true",4852634,53160.42134707343,47855,"United States","01000US","united-states","USA",0.03383839464684615
10,"$90-100k",2015,"2015","true","true",3312220,44163.157612806994,33267,"United States","01000US","united-states","USA",0.023096777444409935
11,"$100-110k",2015,"2015","true","true",3368094,44525.213333888576,33842,"United States","01000US","united-states","USA",0.02348639810454995
12,"$110-120k",2015,"2015","true","true",1626297,31131.357713574147,16648,"United States","01000US","united-states","USA",0.011340496666136773
13,"$120-130k",2015,"2015","true","true",1900044,33617.103370539655,19333,"United States","01000US","united-states","USA",0.013249389654849748
14,"$130-140k",2015,"2015","true","true",1025432,24772.5031768205,10524,"United States","01000US","united-states","USA",0.007150543951904211
15,"$140-150k",2015,"2015","true","true",772097,21514.854550204567,7982,"United States","01000US","united-states","USA",0.005383987952037176
16,"$150-160k",2015,"2015","true","true",1079531,25412.740155166488,11176,"United States","01000US","united-states","USA",0.007527787179396689
17,"$160-170k",2015,"2015","true","true",491260,17178.502879313848,5092,"United States","01000US","united-states","USA",0.003425654964748967
18,"$170-180k",2015,"2015","true","true",412068,15737.449419047927,4236,"United States","01000US","united-states","USA",0.002873433192228509
19,"$180-190k",2015,"2015","true","true",389361,15298.91410260341,4044,"United States","01000US","united-states","USA",0.002715092705959416
20,"$190-200k",2015,"2015","true","true",194729,10826.672857483874,2025,"United States","01000US","united-states","USA",0.0013578845532520492
21,"$200k+",2015,"2015","true","true",2981526,41949.98460315484,31850,"United States","01000US","united-states","USA",0.02079078155035649
1,"< $10K",2014,"2014","true","true",19175353,99922.42405994964,183307,"United States","01000US","united-states","USA",0.13616054221786705
2,"$10-20k",2014,"2014","true","true",21216573,104220.81863864564,188960,"United States","01000US","united-states","USA",0.1506548580193
3,"$20-30k",2014,"2014","true","true",20932980,103644.58657617042,189492,"United States","01000US","united-states","USA",0.14864111795155827
4,"$30-40k",2014,"2014","true","true",18444902,98294.53729312767,173148,"United States","01000US","united-states","USA",0.13097374830468156
5,"$40-50k",2014,"2014","true","true",14459569,88435.65564274589,139529,"United States","01000US","united-states","USA",0.10267465507814441
6,"$50-60k",2014,"2014","true","true",11150671,78670.68195093497,109822,"United States","01000US","united-states","USA",0.07917879840089755
7,"$60-70k",2014,"2014","true","true",8509041,69419.53461672257,83840,"United States","01000US","united-states","USA",0.06042108514581514
8,"$70-80k",2014,"2014","true","true",6082701,59229.13199870175,60286,"United States","01000US","united-states","USA",0.043192105319216925
9,"$80-90k",2014,"2014","true","true",4560929,51576.56571786216,45526,"United States","01000US","united-states","USA",0.03238629117582316
10,"$90-100k",2014,"2014","true","true",3142806,43036.07891972179,31683,"United States","01000US","united-states","USA",0.02231646890910253
11,"$100-110k",2014,"2014","true","true",3135463,42986.91998842155,31372,"United States","01000US","united-states","USA",0.022264327659785983
12,"$110-120k",2014,"2014","true","true",1460431,29515.602496674273,14771,"United States","01000US","united-states","USA",0.010370243344765637
13,"$120-130k",2014,"2014","true","true",1775893,32510.7850877314,17990,"United States","01000US","united-states","USA",0.012610279132849058
14,"$130-140k",2014,"2014","true","true",956819,23933.668955038676,9807,"United States","01000US","united-states","USA",0.00679419011709236
15,"$140-150k",2014,"2014","true","true",711579,20657.90804227672,7320,"United States","01000US","united-states","USA",0.005052787423044969
16,"$150-160k",2014,"2014","true","true",997029,24427.883821909425,10147,"United States","01000US","united-states","USA",0.0070797136953326375
17,"$160-170k",2014,"2014","true","true",458890,16604.290689681544,4732,"United States","01000US","united-states","USA",0.0032584907937995727
18,"$170-180k",2014,"2014","true","true",374783,15010.184968759739,3909,"United States","01000US","united-states","USA",0.0026612629501026066
19,"$180-190k",2014,"2014","true","true",340317,14305.110063391077,3574,"United States","01000US","united-states","USA",0.0024165264256651685
20,"$190-200k",2014,"2014","true","true",179799,10403.775726741125,1857,"United States","01000US","united-states","USA",0.0012767185735892464
21,"$200k+",2014,"2014","true","true",2762472,40403.7667366599,29211,"United States","01000US","united-states","USA",0.019615789361566154
1,"< $10K",2017,"2017","true","true",34505,4560.002131241883,341,,,,"Social workers",0.039656680377844665
2,"$10-20k",2017,"2017","true","true",46771,5308.775026687262,452,,,,"Social workers",0.05375402399513615
3,"$20-30k",2017,"2017","true","true",98758,7712.864065313174,940,,,,"Social workers",0.11350280946979231
4,"$30-40k",2017,"2017","true","true",188337,10647.938829397175,1791,,,,"Social workers",0.21645617192644925
5,"$40-50k",2017,"2017","true","true",173065,10207.627760229267,1663,,,,"Social workers",0.1989040252019037
6,"$50-60k",2017,"2017","true","true",124306,8652.428030514975,1225,,,,"Social workers",0.1428651879741591
7,"$60-70k",2017,"2017","true","true",84823,7148.367074284553,841,,,,"Social workers",0.09748728009534613
8,"$70-80k",2017,"2017","true","true",52856,5643.443642894358,506,,,,"Social workers",0.06074752928709919
9,"$80-90k",2017,"2017","true","true",30397,4280.016385653349,309,,,,"Social workers",0.034935345991750306
10,"$90-100k",2017,"2017","true","true",16170,3121.806619163955,153,,,,"Social workers",0.018584220307484373
11,"$100-110k",2017,"2017","true","true",10456,2510.3956568367475,102,,,,"Social workers",0.01201710621738136
12,"$110-120k",2017,"2017","true","true",2510,1230.0079815815095,25,,,,"Social workers",0.0028847491015328245
13,"$120-130k",2017,"2017","true","true",2359,1192.4365003903984,24,,,,"Social workers",0.0027112044344684994
14,"$130-140k",2017,"2017","true","true",731,663.7925479959575,8,,,,"Social workers",0.0008401400769802768
15,"$140-150k",2017,"2017","true","true",863,721.2384773927168,7,,,,"Social workers",0.0009918479978577002
16,"$150-160k",2017,"2017","true","true",917,743.4608064738765,9,,,,"Social workers",0.0010539103291257372
17,"$160-170k",2017,"2017","true","true",493,545.1267495937547,5,,,,"Social workers",0.0005666060984285588
21,"$200k+",2017,"2017","true","true",1776,1034.6503966845773,20,,,,"Social workers",0.002041161117259879
1,"< $10K",2016,"2016","true","true",30633,4296.58856339242,321,,,,"Social workers",0.03605765835330455
2,"$10-20k",2016,"2016","true","true",50697,5527.008831276587,509,,,,"Social workers",0.05967470066717203
3,"$20-30k",2016,"2016","true","true",102629,7862.424246742173,977,,,,"Social workers",0.1208031018555575
4,"$30-40k",2016,"2016","true","true",197638,10907.233377542116,1885,,,,"Social workers",0.23263681264095598
5,"$40-50k",2016,"2016","true","true",172566,10192.823173998695,1596,,,,"Social workers",0.20312492643215985
6,"$50-60k",2016,"2016","true","true",113387,8263.936637456802,1108,,,,"Social workers",0.13346618704358512
7,"$60-70k",2016,"2016","true","true",80100,6946.584969959228,726,,,,"Social workers",0.09428454392647453
8,"$70-80k",2016,"2016","true","true",46172,5274.668034146889,473,,,,"Social workers",0.0543483890408637
9,"$80-90k",2016,"2016","true","true",26767,4016.3784410855087,257,,,,"Social workers",0.03150704603345748
10,"$90-100k",2016,"2016","true","true",13067,2806.3587453175537,133,,,,"Social workers",0.015380975474247724
11,"$100-110k",2016,"2016","true","true",6494,1978.4323359285265,72,,,,"Social workers",0.007643992862153878
12,"$110-120k",2016,"2016","true","true",3762,1505.8389816567824,36,,,,"Social workers",0.004428195433850152
13,"$120-130k",2016,"2016","true","true",2640,1261.4579529129574,28,,,,"Social workers",0.003107505567614142
14,"$130-140k",2016,"2016","true","true",944,754.3264667455663,10,,,,"Social workers",0.0011111686575105114
16,"$150-160k",2016,"2016","true","true",901,736.9462418543461,7,,,,"Social workers",0.0010605539834925538
21,"$200k+",2016,"2016","true","true",1159,835.8238233704706,15,,,,"Social workers",0.0013642420276002995
1,"< $10K",2015,"2015","true","true",33344,4482.632252451719,341,,,,"Social workers",0.04016831565087392
2,"$10-20k",2015,"2015","true","true",50296,5505.101240288286,492,,,,"Social workers",0.060589779389885884
3,"$20-30k",2015,"2015","true","true",107440,8044.425066801361,1079,,,,"Social workers",0.12942909769463454
4,"$30-40k",2015,"2015","true","true",205174,11112.838989981103,1897,,,,"Social workers",0.24716572682798724
5,"$40-50k",2015,"2015","true","true",158158,9758.447366587881,1527,,,,"Social workers",0.19052724528283704
6,"$50-60k",2015,"2015","true","true",108947,8100.603309588469,1059,,,,"Social workers",0.13124452630805425
7,"$60-70k",2015,"2015","true","true",79159,6905.657131893736,770,,,,"Social workers",0.0953599957595828
8,"$70-80k",2015,"2015","true","true",41862,5022.516222196973,413,,,,"Social workers",0.05042964340741615
9,"$80-90k",2015,"2015","true","true",20858,3545.5164482570262,230,,,,"Social workers",0.025126881233383167
10,"$90-100k",2015,"2015","true","true",10490,2514.470924241124,113,,,,"Social workers",0.012636925119291851
11,"$100-110k",2015,"2015","true","true",6596,1993.9079003903105,57,,,,"Social workers",0.007945963592645286
12,"$110-120k",2015,"2015","true","true",1939,1081.087204339201,19,,,,"Social workers",0.002335843451506854
13,"$120-130k",2015,"2015","true","true",1988,1094.6617381452702,17,,,,"Social workers",0.0023948719863824785
14,"$130-140k",2015,"2015","true","true",1154,834.0189445373557,10,,,,"Social workers",0.001390182229519809
15,"$140-150k",2015,"2015","true","true",842,712.4092166434358,7,,,,"Social workers",0.001014327068679098
16,"$150-160k",2015,"2015","true","true",1064,800.8366891606097,5,,,,"Social workers",0.0012817624715849884
21,"$200k+",2015,"2015","true","true",796,692.6759152012937,10,,,,"Social workers",0.0009589125257346342
1,"< $10K",2014,"2014","true","true",33720,4507.819748049805,358,,,,"Social workers",0.0419545442668966
2,"$10-20k",2014,"2014","true","true",53734,5690.0551365272895,539,,,,"Social workers",0.06685603444950836
3,"$20-30k",2014,"2014","true","true",108197,8072.637905526431,1053,,,,"Social workers",0.13461909329909286
4,"$30-40k",2014,"2014","true","true",192790,10772.575328646226,1853,,,,"Social workers",0.23987000561135807
5,"$40-50k",2014,"2014","true","true",154230,9636.542632663384,1468,,,,"Social workers",0.1918935160819532
6,"$50-60k",2014,"2014","true","true",104127,7919.4645967611905,1052,,,,"Social workers",0.12955518478289269
7,"$60-70k",2014,"2014","true","true",67924,6397.077711764774,682,,,,"Social workers",0.08451128306004402
8,"$70-80k",2014,"2014","true","true",42921,5085.615050468812,404,,,,"Social workers",0.05340246128349552
9,"$80-90k",2014,"2014","true","true",24363,3831.797697869908,241,,,,"Social workers",0.03031253149390278
10,"$90-100k",2014,"2014","true","true",8282,2234.238859754187,98,,,,"Social workers",0.010304493938862324
11,"$100-110k",2014,"2014","true","true",5895,1884.9835891111754,65,,,,"Social workers",0.0073345800253071
12,"$110-120k",2014,"2014","true","true",2702,1276.1839096850604,23,,,,"Social workers",0.003361838037044917
13,"$120-130k",2014,"2014","true","true",1930,1078.5752174115207,20,,,,"Social workers",0.002401312883603512
14,"$130-140k",2014,"2014","true","true",935,750.721964165577,10,,,,"Social workers",0.0011633303348027378
16,"$150-160k",2014,"2014","true","true",726,661.5184320608922,6,,,,"Social workers",0.0009032917893762434
18,"$170-180k",2014,"2014","true","true",311,432.966678166295,5,,,,"Social workers",0.00038694730922315664
21,"$200k+",2014,"2014","true","true",940,752.7265524067226,12,,,,"Social workers",0.0011695513526359075
