ID PUMA,PUMA,ID Year,Year,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation
"79500US7200202","Carr 2 (Suroeste) PUMA, PR",2017,"2017",14281.153741496599,8746.563226832985,6,"carr-2-suroeste-puma-pr","Social workers","211020","social-workers"
"79500US7200403","Carr 52-Carr 150 PUMA, PR",2017,"2017",19805.417794970985,10034.869632254347,7,"carr-52-carr-150-puma-pr","Social workers","211020","social-workers"
"79500US7200804","San Juan Municipio (Noroeste) PUMA, PR",2017,"2017",20586.213960546283,10992.804366069828,6,"san-juan-municipio-noroeste-puma-pr","Social workers","211020","social-workers"
"79500US0100100","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA, AL",2017,"2017",34147.618604651165,13566.426099369357,6,"lauderdale-colbert-franklin-marion-northeast-counties-puma-al","Social workers","211020","social-workers"
"79500US0101200","Shelby County PUMA, AL",2017,"2017",45318.50544135429,22738.24007744718,5,"shelby-county-puma-al","Social workers","211020","social-workers"
"79500US0101303","Hoover (North), Vestavia Hills & Homewood Cities PUMA, AL",2017,"2017",43955.24307036247,14598.894029901803,6,"hoover-north-vestavia-hills-homewood-cities-puma-al","Social workers","211020","social-workers"
"79500US0101304","Trussville, Center Point & Gardendale Cities PUMA, AL",2017,"2017",51421.75153374233,21670.925073891147,5,"trussville-center-point-gardendale-cities-puma-al","Social workers","211020","social-workers"
"79500US0101500","Northport City (North & West) PUMA, AL",2017,"2017",41242.09168081494,27105.82074318319,5,"northport-city-north-west-puma-al","Social workers","211020","social-workers"
"79500US0102300","Coffee, Covington, Butler & Crenshaw Counties PUMA, AL",2017,"2017",31874.43804347826,11661.133034987828,6,"coffee-covington-butler-crenshaw-counties-puma-al","Social workers","211020","social-workers"
"79500US0102400","Russell, Pike, Barbour, Macon & Bullock Counties PUMA, AL",2017,"2017",30773.347014925374,32549.690669152333,5,"russell-pike-barbour-macon-bullock-counties-puma-al","Social workers","211020","social-workers"
"79500US0102500","Dothan City PUMA, AL",2017,"2017",36422.81043956044,32111.64937571132,14,"dothan-city-puma-al","Social workers","211020","social-workers"
"79500US0200200","Matanuska-Susitna & Kenai Peninsula Boroughs PUMA, AK",2017,"2017",26101.540636042402,22534.360962116425,8,"matanuska-susitna-kenai-peninsula-boroughs-puma-ak","Social workers","211020","social-workers"
"79500US0200300","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA, AK",2017,"2017",26861.073673870334,18855.01599612877,5,"greater-fairbanks-greater-juneau-ketchikan-gateway-borough-road-connected-alaska-puma-ak","Social workers","211020","social-workers"
"79500US0200400","Subsistence Alaska PUMA, AK",2017,"2017",47034.42580645161,25229.379490062955,11,"subsistence-alaska-puma-ak","Social workers","211020","social-workers"
"79500US0400105","Gilbert Town (North) PUMA, AZ",2017,"2017",26920.01399491094,18204.717464928355,10,"gilbert-town-north-puma-az","Social workers","211020","social-workers"
"79500US0400114","Phoenix City (Northeast Central) PUMA, AZ",2017,"2017",59245.00146627566,13430.262376528806,6,"phoenix-city-northeast-central-puma-az","Social workers","211020","social-workers"
"79500US0400118","Downtown & Sky Harbor International Airport PUMA, AZ",2017,"2017",42192.490439770554,7594.585798370458,9,"downtown-sky-harbor-international-airport-puma-az","Social workers","211020","social-workers"
"79500US0400119","Phoenix City (South) PUMA, AZ",2017,"2017",34045.180592991914,18771.19836258226,7,"phoenix-city-south-puma-az","Social workers","211020","social-workers"
"79500US0400121","Phoenix (Southwest) & Tolleson Cities PUMA, AZ",2017,"2017",36352.157167530226,14106.893995107152,5,"phoenix-southwest-tolleson-cities-puma-az","Social workers","211020","social-workers"
"79500US0400123","Maryvale (West) PUMA, AZ",2017,"2017",38180.441860465115,4860.288618644769,10,"maryvale-west-puma-az","Social workers","211020","social-workers"
"79500US0400126","Glendale City (North) PUMA, AZ",2017,"2017",39798.40329218107,31707.052160562707,7,"glendale-city-north-puma-az","Social workers","211020","social-workers"
"79500US0400202","Tucson (West) & Marana Cities PUMA, AZ",2017,"2017",15814.082152974504,25084.8316793767,6,"tucson-west-marana-cities-puma-az","Social workers","211020","social-workers"
"79500US0400206","Tucson City (Northeast) PUMA, AZ",2017,"2017",32833.48538011696,3857.737527469103,7,"tucson-city-northeast-puma-az","Social workers","211020","social-workers"
"79500US0400207","Tucson City (Northwest) PUMA, AZ",2017,"2017",33857.93368700265,10216.490683008567,5,"tucson-city-northwest-puma-az","Social workers","211020","social-workers"
"79500US0400209","Tucson City (Southeast) PUMA, AZ",2017,"2017",37979.18030050083,18162.38645549382,9,"tucson-city-southeast-puma-az","Social workers","211020","social-workers"
"79500US0400300","Navajo & Apache Counties PUMA, AZ",2017,"2017",35507.180722891564,31340.628494648845,9,"navajo-apache-counties-puma-az","Social workers","211020","social-workers"
