ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation
"111021","General & operations managers",2019,"2019","true","true",89320.46291162733,1766.9101720665483,11057,"general-operations-managers"
"1110XX","Chief executives & legislators",2019,"2019","true","true",186648.94792984342,3311.882403043895,15648,"chief-executives-legislators"
"112011","Advertising & promotions managers",2019,"2019","true","true",100595.16261790687,10029.308827348204,567,"advertising-promotions-managers"
"112021","Marketing managers",2019,"2019","true","true",95996.73830532993,2971.6996788991264,5433,"marketing-managers"
"112022","Sales managers",2019,"2019","true","true",121925.53351084978,3470.0327998338375,5299,"sales-managers"
"112030","Public relations and fundraising managers",2019,"2019","true","true",88181.61639198936,5143.214080221278,1034,"public-relations-and-fundraising-managers"
"113012","Administrative services managers",2019,"2019","true","true",71542.91701278213,5401.8310322877105,649,"administrative-services-managers"
"113013","Facilities managers",2019,"2019","true","true",72691.97008315868,3113.392232590569,1241,"facilities-managers"
"113021","Computer & information systems managers",2019,"2019","true","true",121442.83583759885,2427.4956648290827,6821,"computer-information-systems-managers"
"113031","Financial managers",2019,"2019","true","true",107269.97993423183,2306.8307278189786,13386,"financial-managers"
"113051","Industrial production managers",2019,"2019","true","true",91749.92132841329,3104.589155558744,2869,"industrial-production-managers"
"113061","Purchasing managers",2019,"2019","true","true",89105.53878064507,3242.598513406947,2326,"purchasing-managers"
"113071","Transportation, storage, & distribution managers",2019,"2019","true","true",64665.85807924926,2134.100545775186,2674,"transportation-storage-distribution-managers"
"113111","Compensation & benefits managers",2019,"2019","true","true",90469.8866640854,10082.085737238227,202,"compensation-benefits-managers"
"113121","Human resources managers",2019,"2019","true","true",96557.6930753781,3650.6672404138176,2748,"human-resources-managers"
"113131","Training & development managers",2019,"2019","true","true",84363.84589673822,6116.582078493599,605,"training-development-managers"
"119013","Farmers, ranchers, & other agricultural managers",2019,"2019","true","true",56514.26889969789,3153.313630431475,3776,"farmers-ranchers-other-agricultural-managers"
"119021","Construction managers",2019,"2019","true","true",88310.43159891627,1955.3733538269655,7809,"construction-managers"
"119030","Education administrators",2019,"2019","true","true",74842.04472938471,1383.63812424304,10144,"education-administrators"
"119041","Architectural & engineering managers",2019,"2019","true","true",168894.9640095681,6524.95826791601,1897,"architectural-engineering-managers"
"119051","Food service managers",2019,"2019","true","true",46810.11987431594,1275.8389735165374,8018,"food-service-managers"
"119070","Entertainment and recreation managers",2019,"2019","true","true",59535.59445387663,6964.425591157915,360,"entertainment-and-recreation-managers"
"119081","Lodging managers",2019,"2019","true","true",59959.59079937128,3582.061710798368,1352,"lodging-managers"
"119111","Medical & health services managers",2019,"2019","true","true",88016.27767139713,2165.24881188527,6668,"medical-health-services-managers"
"119121","Natural sciences managers",2019,"2019","true","true",108495.42755648731,19267.09188895203,190,"natural-sciences-managers"
"119141","Property, real estate, & community association managers",2019,"2019","true","true",70175.67330183886,2672.9901884329156,5333,"property-real-estate-community-association-managers"
"119151","Social & community service managers",2019,"2019","true","true",64480.90116456432,1930.7748468395885,4283,"social-community-service-managers"
"119161","Emergency management directors",2019,"2019","true","true",80680.31967213115,15690.817175187514,149,"emergency-management-directors"
"1191XX","Other managers",2019,"2019","true","true",102532.47511368933,1194.6107696406611,40755,"other-managers"
"131011","Agents & business managers of artists, performers, & athletes",2019,"2019","true","true",92459.85936363196,15715.077523768123,393,"agents-business-managers-of-artists-performers-athletes"
"131021","Buyers & purchasing agents, farm products",2019,"2019","true","true",52985.47691545983,12902.252855011626,96,"buyers-purchasing-agents-farm-products"
"131022","Wholesale & retail buyers, except farm products",2019,"2019","true","true",45836.51011393619,2731.801308348654,2061,"wholesale-retail-buyers-except-farm-products"
"131023","Purchasing agents, except wholesale, retail, & farm products",2019,"2019","true","true",63920.39222235306,2173.8769678078056,2849,"purchasing-agents-except-wholesale-retail-farm-products"
"131030","Claims adjusters, appraisers, examiners, & investigators",2019,"2019","true","true",60597.253214843324,1547.5474738061866,3213,"claims-adjusters-appraisers-examiners-investigators"
"131041","Compliance officers",2019,"2019","true","true",80066.92559024013,3032.766296211432,2999,"compliance-officers"
"131051","Cost estimators",2019,"2019","true","true",71974.04500434516,2942.8343003774153,1648,"cost-estimators"
"131070","Human resources workers",2019,"2019","true","true",68590.10529933352,1502.9947922401584,8402,"human-resources-workers"
"131081","Logisticians",2019,"2019","true","true",58154.88339807222,2187.719138624387,1600,"logisticians"
"131082","Project management specialists",2019,"2019","true","true",92208.35199789936,1654.6766629863446,6598,"project-management-specialists"
"131111","Management analysts",2019,"2019","true","true",101058.63744098032,2456.570314553834,8768,"management-analysts"
"131121","Meeting, convention, & event planners",2019,"2019","true","true",46506.33795981099,2051.694787022531,1468,"meeting-convention-event-planners"
"131131","Fundraisers",2019,"2019","true","true",73072.59525287982,4654.988265470306,856,"fundraisers"
"131141","Compensation, benefits, & job analysis specialists",2019,"2019","true","true",63540.72224938875,4256.542385732383,721,"compensation-benefits-job-analysis-specialists"
"131151","Training & development specialists",2019,"2019","true","true",63933.52041842176,2649.771300268215,1588,"training-development-specialists"
"131161","Market research analysts & marketing specialists",2019,"2019","true","true",79915.49764308396,3324.618525322892,3408,"market-research-analysts-marketing-specialists"
"131199","Business operations specialists, all other",2019,"2019","true","true",78388.07077690793,2929.7689800888093,3744,"business-operations-specialists-all-other"
