age, workclass, education, marital-status, relationship, race, sex, hours-per-week, income
39,1,1,1,1,0,1,40,2
50,3,1,0,0,0,1,13,2
38,0,1,1,1,0,1,40,2
53,0,0,0,0,1,1,40,2
37,0,1,0,0,0,2,40,2
49,0,0,0,1,1,2,16,2
52,3,1,0,0,0,1,45,1
31,0,1,1,1,0,2,50,1
42,0,1,0,0,0,1,40,1
37,0,1,0,0,1,1,80,1
30,1,1,0,0,2,1,40,1
23,0,1,1,3,0,2,30,2
32,0,1,1,1,1,1,50,2
40,0,1,0,0,2,1,40,1
34,0,0,0,0,2,1,45,2
25,3,1,1,3,0,1,35,2
32,0,1,1,2,0,1,40,2
38,0,0,0,0,0,1,50,2
43,3,1,1,2,0,2,45,1
40,0,1,0,0,0,1,60,1
54,0,1,1,2,1,2,20,2
35,1,0,0,0,1,1,40,2
43,0,0,0,0,0,1,40,2
59,0,1,1,2,0,2,40,2
56,1,1,0,0,0,1,40,1
19,0,1,1,3,0,1,40,2
54,2,1,0,0,2,1,60,1
39,0,1,1,1,0,1,80,2
49,0,1,0,0,0,1,40,2
23,1,1,1,1,0,1,52,2
20,0,1,1,3,1,1,44,2
45,0,1,1,3,0,1,40,2
30,1,1,0,3,0,1,40,2
22,1,1,0,0,1,1,15,2
48,0,0,1,2,0,1,40,2
21,0,1,1,3,0,1,40,2
19,0,1,0,0,0,2,25,2
31,0,1,0,0,0,1,38,1
48,3,1,0,0,0,1,40,2
31,0,0,0,0,0,1,43,2
53,3,1,0,0,0,1,40,2
24,0,1,0,0,0,1,50,2
49,0,1,1,2,0,2,40,2
25,0,1,1,1,0,1,35,2
57,1,1,0,0,1,1,40,1
53,0,1,0,0,0,1,38,2
44,0,1,1,2,0,2,40,2
41,1,1,0,0,0,1,40,2
29,0,1,1,1,0,1,43,2
25,0,1,0,0,3,2,40,2
18,0,1,1,3,0,2,30,2
47,0,1,0,0,0,2,60,1
50,1,1,1,1,0,1,55,1
47,3,1,1,1,0,1,60,2
43,0,1,0,0,0,1,40,1
46,0,0,0,0,0,1,40,2
35,0,1,0,0,0,1,40,2
41,0,1,0,0,0,1,48,2
30,0,1,0,0,0,1,40,2
30,0,1,0,0,0,1,40,2
32,2,0,0,1,0,1,40,2
48,0,1,0,0,0,1,40,2
42,0,1,0,0,0,1,45,1
29,0,1,1,1,0,1,58,2
36,0,1,0,0,0,1,40,2
28,0,1,1,1,0,2,40,2
53,0,1,0,0,0,2,40,1
49,3,1,0,0,0,1,50,1
25,2,1,1,3,0,1,40,2
