age, workclass, fnlwgt, education, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
39,Government,77516,University,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States,poor
50,Self-employed,83311,University,13, Married, Exec-managerial, Husband, White, Male,0,0,13, United-States,poor
38, Private,215646,College,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,poor
53, Private,234721,School,7, Married, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,poor
28, Private,338409,University,13, Married, Prof-specialty, Wife, Black, Female,0,0,40, Cuba,poor
37, Private,284582,University,14, Married, Exec-managerial, Wife, White, Female,0,0,40, United-States,poor
49, Private,160187,School,5, Married, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica,poor
52,Self-employed,209642,College,9, Married, Exec-managerial, Husband, White, Male,0,0,45, United-States,rich
31, Private,45781,University,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States,rich
42, Private,159449,University,13, Married, Exec-managerial, Husband, White, Male,5178,0,40, United-States,rich
37, Private,280464,College,10, Married, Exec-managerial, Husband, Black, Male,0,0,80, United-States,rich
30,Government,141297,University,13, Married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,rich
23, Private,122272,University,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States,poor
32, Private,205019,College,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States,poor
34, Private,245487,School,4, Married, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico,poor
25,Self-employed,176756,College,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States,poor
32, Private,186824,College,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,poor
38, Private,28887,School,7, Married, Sales, Husband, White, Male,0,0,50, United-States,poor
43,Self-employed,292175,University,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States,rich
40, Private,193524,University,16, Married, Prof-specialty, Husband, White, Male,0,0,60, United-States,rich
54, Private,302146,College,9, Divorced, Other-service, Unmarried, Black, Female,0,0,20, United-States,poor
35,Government,76845,School,5, Married, Farming-fishing, Husband, Black, Male,0,0,40, United-States,poor
